#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-02-14;Espagne;2;0;0;0.00;0.00;100.00
2020-02-14;Égypte;1;0;0;0.00;0.00;100.00
2020-02-14;Finlande;1;0;1;0.00;100.00;0.00
2020-02-14;France;11;0;2;0.00;18.18;81.82
2020-02-14;Royaume-Uni;9;0;1;0.00;11.11;88.89
2020-02-14;Hong-Kong;56;1;1;1.79;1.79;96.43
2020-02-14;Inde;3;0;0;0.00;0.00;100.00
2020-02-14;Japon;29;1;9;3.45;31.03;65.52
2020-02-14;Cambodge;1;0;1;0.00;100.00;0.00
2020-02-14;Italie;3;0;0;0.00;0.00;100.00
2020-02-14;Corée du Sud;28;0;7;0.00;25.00;75.00
2020-02-14;Sri Lanka;1;0;1;0.00;100.00;0.00
2020-02-14;Macao;10;0;3;0.00;30.00;70.00
2020-02-14;Malaisie;19;0;3;0.00;15.79;84.21
2020-02-14;Népal;1;0;1;0.00;100.00;0.00
2020-02-14;Fédération de Russie;2;0;2;0.00;100.00;0.00
2020-02-14;Philippines;3;1;1;33.33;33.33;33.33
2020-02-14;Singapour;67;0;17;0.00;25.37;74.63
2020-02-14;Suède;1;0;0;0.00;0.00;100.00
2020-02-14;Thaïlande;33;0;12;0.00;36.36;63.64
2020-02-14;Taïwan;18;0;2;0.00;11.11;88.89
2020-02-14;États-Unis;15;0;3;0.00;20.00;80.00
2020-02-14;Viet Nam;16;0;7;0.00;43.75;56.25
2020-02-14;Autres;218;0;0;0.00;0.00;100.00
2020-02-13;Autres;175;0;0;0.00;0.00;100.00
2020-02-13;Viet Nam;16;0;7;0.00;43.75;56.25
2020-02-13;États-Unis;15;0;3;0.00;20.00;80.00
2020-02-13;Taïwan;18;0;1;0.00;5.56;94.44
2020-02-13;Thaïlande;33;0;12;0.00;36.36;63.64
2020-02-13;Suède;1;0;0;0.00;0.00;100.00
2020-02-13;Singapour;58;0;15;0.00;25.86;74.14
2020-02-13;Philippines;3;1;1;33.33;33.33;33.33
2020-02-13;Fédération de Russie;2;0;2;0.00;100.00;0.00
2020-02-13;Népal;1;0;1;0.00;100.00;0.00
2020-02-13;Malaisie;19;0;3;0.00;15.79;84.21
2020-02-13;Macao;10;0;3;0.00;30.00;70.00
2020-02-13;Sri Lanka;1;0;1;0.00;100.00;0.00
2020-02-13;Corée du Sud;28;0;7;0.00;25.00;75.00
2020-02-13;Italie;3;0;0;0.00;0.00;100.00
